POS NEG
12500 2831337
helge 2
cast(all 1
deadly) 1
helga 8
_spiritited 1
treason 6
indignation 1
deadly" 1
undeniablythe 1
placates 1
sledding 3
time- 4
"san 1
time; 17
time: 14
time7 1
telemovie 3
signifying 2
" 176
timea 5
# 6
wiggling 1
timed 16
! 630
& 1470
occaisionally 1
' 11
% 5
* 24
+ 29
( 212
) 153
/ 96
- 4713
3 410
dove-cote 1
serenade 1
2 547
beginningclosing 1
gang-rape 1
1 260
0 6
2)god 1
7 242
6 135
5 282
salient 1
4 262
; 20
: 109
9 185
8 264
costner's 3
> 1
= 27
luthorcorp's 1
greatnessdiane 1
mugs 3
re-cast 1
@ 4
uttering 9
erasoundtrack 1
ignorance 24
"roger 1
60's-created 1
inefficient 2
times 1639
everyoneholmes 1
timer 6
] 1
swords 14
insufferably 1
\ 1
_ 2
victim's 13
timeu 1
helin 1
writers' 3
beaton 1
menottimaradona 1
[ 2
grotesque 36
f 42
bianlian 3
g 53
b-actor 1
room"busy 1
d 50
fun!ps 1
genre)*1/2 1
e 49
pendanski 2
sobering 5
b 174
c 83
` 2
slated 11
a 82133
scan
 1
souls' 3
n 25
o 46
l 51
astounded 7
stopped! 1
m 50
j 81
k 17
souls" 3
h 96
i 2224
w 38
scene!!they 1
v 43
analyze 19
u 71
t 59
s 65
bathhousethe 1
r 80
q 15
p 14
insufferable 6
slates 1
~ 21
harbour) 1
z 10
y 15
muir 1
x 71
meanother 1
("the 37
bobby's 3
"sea 8
doctor/mentor 1
consumption 10
injecting 4
lagravenese 1
mudd 1
rodriguez!
 1
documentaryvia 1
copulating 1
helm) 2
"animaux" 1
soapthe 1
dogs") 1
doingfilled 1
reaper-like 1
damiani's 1
seeks"you're 1
helm; 1
dozen; 1
"see 6
arthurthe 1
copulation 1
dozens 52
hell" 11
hell! 4
triviata 1
recommended10/10quality: 1
hell) 3
medal-wearing 1
hell' 2
timid 15
much 4505
soonýt 1
mcýntirecharles 1
muck 5
hell; 1
middle' 1
"arnold's" 1
update 14
small-town 16
happylionel 1
burke--she's 1
problematicýn 1
beatlemaniac 1
weekend)gene 1
toturn 1
'femme 1
psychotic"that 1
helms 9
quietness 3
"positively 1
wonderfulý've 1
deadvengeance 1
"say 3
harryhausen-style 1
"subtitles" 1
sabella) 1
hella 1
injection 4
insurgency 3
nowadays; 1
nowadays: 1
(ursula 1
"sat 1
gý's 5
hello 20
winterýf 1
convoy 1
themanthony 1
spoýlers!!! 1
hells 5
nowadays) 3
hormonal 3
beatty 54
vane 2
malformed 1
"sin 1
"sit 6
beavers! 1
emmanuell 1
owner/widow 1
"sir 2
vans 2
naacp 1
"shy 1
discrepancy 1
ýndonesians 1
pastorelli 2
pulverized 2
ý 31210
re-surfaced 2
footling 1
1933-1939 1
waywhat 1
mur) 1
help; 2
rascal 1
vamp 10
taffy 4
yachting 1
help) 1
secondus 1
"she 15
epps) 1
help! 1
help" 4
blessedand 1
wave/punk 1
mush 6
technician 2
dekhiye! 1
(melissa 1
muse 13
musa 2
like:mccoy- 1
analyse 6
samwise 2
muri 1
war
 5
"track 1
mismanagement 1
helps 262
courteney 2
hormones 3
"sex 13
over-rationalizedýt's 1
`hush' 1
sternbergýt 1
riviã¨re) 2
exteriors 5

 64
elephant-filled 1
potters 1
mule 3
starkly 8
finalecorrectly 1
"so" 1
pottery 2
interlopers 3
dobkin) 1
maria" 1
analyst 6
unrecognized 3
superbwhen 1
vail 2
zentropa 15
plunging 1
hayenga) 1
inaudible 2
joyride 2
mum' 1
waywhen 1
seatbarbara 1
emmerdale 1
vain 23
vaio 1
thought-85 1
maria) 2
repents 1
vall 1
stuntsthe 1
suleimanýn 1
chain-store's 1
